Service: Service: OnAllLights,  Device: 1 numTimeBrokenDevice: 1

Service: OnAllLights,  Device: 2 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 3 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 4 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 5 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 6 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 7 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 8 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 9 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 10 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 11 numTimeBrokenDevice: 1

Service: OnAllLights,  Device: 12 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 13 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 14 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 15 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 16 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 17 numTimeBrokenDevice: 0

Service: OnLightsBathroom,  Device: 1 numTimeBrokenDevice: 1

Service: OnLightsBathroom,  Device: 3 numTimeBrokenDevice: 0

Service: OnLightsKitchen,  Device: 2 numTimeBrokenDevice: 0

Service: OnLightsKitchen,  Device: 4 numTimeBrokenDevice: 0

Service: OnLightsLiving,  Device: 5 numTimeBrokenDevice: 0

Service: OnLightsLiving,  Device: 6 numTimeBrokenDevice: 0

Service: OnLightsLiving,  Device: 7 numTimeBrokenDevice: 0

Service: OnLightsLiving,  Device: 8 numTimeBrokenDevice: 0

Service: OnLightsHallway,  Device: 9 numTimeBrokenDevice: 0

Service: OnLightsHallway,  Device: 10 numTimeBrokenDevice: 0

Service: OnLightsCorridor,  Device: 11 numTimeBrokenDevice: 1

Service: OnLightsBedroom1,  Device: 14 numTimeBrokenDevice: 0

Service: OnLightsBedroom1,  Device: 15 numTimeBrokenDevice: 0

Service: OnLightsBedroom2,  Device: 12 numTimeBrokenDevice: 0

Service: OnLightsBedroom2,  Device: 13 numTimeBrokenDevice: 0

Service: OnHomeOffice,  Device: 16 numTimeBrokenDevice: 0

Service: OnHomeOffice,  Device: 17 numTimeBrokenDevice: 0

Service: NighttimeArea,  Device: 11 numTimeBrokenDevice: 1

Service: NighttimeArea,  Device: 12 numTimeBrokenDevice: 0

Service: NighttimeArea,  Device: 13 numTimeBrokenDevice: 0

Service: NighttimeArea,  Device: 14 numTimeBrokenDevice: 0

Service: NighttimeArea,  Device: 15 numTimeBrokenDevice: 0

Service: InsertAlarm,  Device: 23 numTimeBrokenDevice: 0

Service: InsertAlarm,  Device: 24 numTimeBrokenDevice: 0

Service: InsertAlarm,  Device: 25 numTimeBrokenDevice: 0

Service: InsertAlarm,  Device: 26 numTimeBrokenDevice: 0

Service: InsertAlarm,  Device: 27 numTimeBrokenDevice: 0

Service: OnAllLights,  Device: 1 numTimegetDeviceOn: 0

Service: OnAllLights,  Device: 2 numTimegetDeviceOn: 1

Service: OnAllLights,  Device: 3 numTimegetDeviceOn: 1

Service: OnAllLights,  Device: 4 numTimegetDeviceOn: 1

Service: OnAllLights,  Device: 5 numTimegetDeviceOn: 1

Service: OnAllLights,  Device: 6 numTimegetDeviceOn: 1

